ID	State	Generated	Cost	Elapsed	NodesPerSec
001	7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14	97510	53 	0s 	inf
003	13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6	323663	55 	0s 	inf
010	3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0	33232	46 	0s 	inf
019	6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13	111025	55 	0s 	inf
036	1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10	50661	55 	0s 	inf
004	14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15	7029880	59	7s	1004268.571429
018	15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12	2463489	66	2s	1231744.500000
024	10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12	417630	49	0s	inf
