Depth Generated Branching Elapsed NodesPerMs
1 18 18.000000 0ms 1.#INF00
2 243 13.500000 0ms 1.#INF00
3 3240 13.333333 2ms 1620.000000
4 43254 13.350000 28ms 1544.785714
5 577368 13.348315 374ms 1543.764706
6 7706988 13.348485 5142ms 1498.830805
7 102876480 13.348468 62806ms 1638.004012
8 1373243544 13.348469 794237ms 1729.009784
