Depth Generated Branching Elapsed NodesPerMs
1 12 12.000000 0ms 1.#INF00
2 144 12.000000 0ms 1.#INF00
3 1728 12.000000 0ms 1.#INF00
4 20736 12.000000 13ms 1595.076923
5 248832 12.000000 166ms 1498.987952
6 2985984 12.000000 1511ms 1976.164130
7 35831808 12.000000 19085ms 1877.485355
8 429981696 12.000000 212885ms 2019.783902
