Depth Generated Branching Elapsed NodesPerMs
1 12 12.000000 0ms 1.#INF00
2 102 8.500000 0ms 1.#INF00
3 812 7.960784 1ms 812.000000
4 6402 7.884236 2ms 3201.000000
5 50412 7.874414 27ms 1867.111111
6 396902 7.873165 225ms 1764.008889
7 3124812 7.873006 1701ms 1837.044092
8 24601602 7.872986 13053ms 1884.746955
9 193688012 7.872984 99795ms 1940.858881
